Domain,Title,arXiv_ID
CS,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,1909.11942
CS,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,1910.10683
CS,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",1910.01108
CS,Semantic Image Synthesis with Spatially-Adaptive Normalization,1903.07291
CS,A Style-Based Generator Architecture for Generative Adversarial Networks,1812.04948
CS,Analyzing and Improving the Image Quality of StyleGAN,1912.04958
CS,Continuous control with deep reinforcement learning,1509.02971
CS,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,1801.01290
CS,Playing Atari with Deep Reinforcement Learning,1312.5602
CS,Wasserstein GAN,1701.07875
