Domain,Title,arXiv_ID
CS,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,1905.11946
CS,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,1602.07360
CS,Neural Architecture Search with Reinforcement Learning,1611.01578
CS,DARTS: Differentiable Architecture Search,1806.09055
CS,Efficient Neural Architecture Search via Parameter Sharing,1802.03268
CS,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,1703.03400
CS,Prototypical Networks for Few-shot Learning,1703.05175
CS,Matching Networks for One Shot Learning,1606.04080
CS,On First-Order Meta-Learning Algorithms,1803.02999
CS,On the $\infty$-categorical Whitehead theorem and the embedding of quasicategories in prederivators,1612.06980
