Domain,Title,Link
CS,Universal adversarial perturbations,https://arxiv.org/abs/1610.08401
CS,Certifying Some Distributional Robustness with Principled Adversarial Training,https://arxiv.org/abs/1710.10571
CS,"LIME: ""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",https://arxiv.org/abs/1602.04938
CS,SHAP: A Unified Approach to Interpreting Model Predictions,https://arxiv.org/abs/1705.07874
CS,Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization,https://arxiv.org/abs/1610.02391
CS,Axiomatic Attribution for Deep Networks (Integrated Gradients),https://arxiv.org/abs/1703.01365
CS,Understanding Black-box Predictions via Influence Functions,https://arxiv.org/abs/1703.04730
CS,Neural Ordinary Differential Equations,https://arxiv.org/abs/1806.07366
CS,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,https://arxiv.org/abs/2003.08934
CS,Denoising Diffusion Probabilistic Models,https://arxiv.org/abs/2006.11239
